city,name,google_maps_searchstring,view_url,website_address,longitude,state,address,latitude,rsd_pledge_signed,id
ASHLAND,CD OR NOT CD,"CD OR NOT CD, 343 EAST MAIN ST., ASHLAND, OR 97520, United States of America",/Store/6309,http://cdornotcd.com,-122.710848,OR,343 EAST MAIN ST.,42.195256,Y,6309
Ashland,Music Coop,"Music Coop, 181 A St., Ashland, OR 97520, United States of America",/Store/5826,http://www.musiccooponline.com/,-122.711788,OR,181 A St.,42.1996315,Y,5826
Beaverton,Everyday Music,"Everyday Music, 3290 Cedar Hills Blvd, Beaverton, OR 97005, United States of America",/Store/6149,http://www.everydaymusic.com,-122.808454,OR,3290 Cedar Hills Blvd,45.4960202,Y,6149
Bend,Ranch Records ,"Ranch Records , 831 NW Wall St. , Bend, OR 97709, United States of America",/Store/5665,"http://facebook.com/Ranch Records - Cds, Lps, Vintage Rock Art, Dvds",-121.314977,OR,831 NW Wall St. ,44.0586477,Y,5665
Bend,Recycle Music L.L.C.,"Recycle Music L.L.C., 3 Bond Street, Bend, OR 97701, United States of America",/Store/13900,http://,-121.316656,OR,3 Bond Street,44.0517356,Y,13900
Corvallis,Happy Trails Records,"Happy Trails Records, 100 SW 3rd Street, Corvallis, OR 97339, United States of America",/Store/5183,-123.261077,OR,100 SW 3rd Street,44.5641387,Y,5183
Eugene,CD/Game Exchange,"CD/Game Exchange, 30 E. 11th Ave, Eugene, OR 97401, United States of America",/Store/6018,-123.092271,OR,30 E. 11th Ave,44.0474869,Y,6018
Eugene,House of Records,"House of Records, 258 e 13th Avenue, Eugene, OR 97401, United States of America",/Store/5532,-123.088837,OR,258 e 13th Avenue,44.045304,Y,5532
Eugene,Skip&#39;s Records &amp; CD World,"Skip&amp;#39;s Records &amp;amp; CD World, 3215 W 11th Ave, Eugene, OR 97402, United States of America",/Store/12997,http://www.gotocdworld.com,-123.141319,OR,3215 W 11th Ave,44.0483288,Y,12997
Grants Pass,Listen Here Music,"Listen Here Music, 234 sw 6th st., Grants Pass, OR 97526, United States of America",/Store/13414,-123.327774,OR,234 sw 6th st.,42.438419,Y,13414
Grants Pass,Listen Here Music,"Listen Here Music, 234 SW 6th st., Grants Pass, OR 97526, United States of America",/Store/14457,http://,-123.327764,OR,234 SW 6th st.,42.4384509,N,14457
McMinnville,The Vortex Records,"The Vortex Records, 314 NE 3rd Street, McMinnville, OR 97128, United States of America",/Store/13887,http://facebook.com/theVortexRecords,-123.196426,OR,314 NE 3rd Street,45.2097989,Y,13887
Medford,Clark Street Music Movies Games Books,"Clark Street Music Movies Games Books, 827 N. Central, Medford, OR 97501, United States of America",/Store/14342,http://www.bentwizard.com,-122.879557,OR,827 N. Central,42.333852,N,14342
Medford,MUSICHEAD,"MUSICHEAD, Medford, Medford, OR , United States of America",/Store/5156,http://myspace.com/medfordmusichead,-122.868290,OR,Medford,42.327878,N,5156
North Bend,Off the Record,"Off the Record, 2227 B Newmark Ave, North Bend, OR 97459, United States of America",/Store/6080,http://,-124.24773,OR,2227 B Newmark Ave,43.3915842,Y,6080
Portland,2nd Avenue Records,"2nd Avenue Records, 400 SW 2nd Avenue, Portland, OR 97204, United States of America",/Store/7474,http://www.2ndavenuerecords.com,-122.673353,OR,400 SW 2nd Avenue,45.5199352,Y,7474
Portland,360 Vinyl,"360 Vinyl, 214 SW 8th Ave, Portland, OR 97207, United States of America",/Store/5794,http://www.360vinyl.com,-122.678440,OR,214 SW 8th Ave,45.5227718,Y,5794
Portland,99 Cent Records,"99 Cent Records, 2940 NE MLK, Portland, OR 97212, United States of America",/Store/7179,http://www.facebook.com/pages/99CentRecords/324313789748,-122.661493,OR,2940 NE MLK,45.544466,N,7179
Portland,Beacon Sound,"Beacon Sound, 3636 b North Mississippi Ave, Portland, OR 97227, United States of America",/Store/12496,http://www.wearebeaconsound.com,-122.675241,OR,3636 b North Mississippi Ave,45.5493031,Y,12496
Portland,CD Game Exchange,"CD Game Exchange, 3719 N Mississippi Ave, Portland, OR 97227, United States of America",/Store/15019,http://www.cdgameexchange.com,-122.675834,OR,3719 N Mississippi Ave,45.5498552,N,15019
PORTLAND,Corrosion Records,"Corrosion Records, 3341 SE Hawthorne Blvd., PORTLAND, OR 97214, United States of America",/Store/7571,-122.629989,OR,3341 SE Hawthorne Blvd.,45.512158,7571
Portland,Everyday Music,"Everyday Music, 1931 NE Sandy Blvd, Portland, OR 97232, United States of America",/Store/6148,http://www.everydaymusic.com,-122.646146,OR,1931 NE Sandy Blvd,45.5259287,Y,6148
Portland,Everyday Music,"Everyday Music, 1313 W. Burnside, Portland, OR 97209, United States of America",/Store/3868,http://www.everydaymusic.com,-122.684571,OR,1313 W. Burnside,45.5230473,Y,3868
Portland,Exiled Records,"Exiled Records, 4628 SE Hawthorne Blvd., Portland, OR 97215, United States of America",/Store/5672,http://www.exiledrecords.com,-122.614299,OR,4628 SE Hawthorne Blvd.,45.5119407,Y,5672
Portland,Future Shock,"Future Shock, 1914 E. Burnside, Portland, OR 97214, United States of America",/Store/14331,http://www.futureshockpdx.com,-122.6461,OR,1914 E. Burnside,45.522655,Y,14331
Portland,Jackpot Records - Hawthorne,"Jackpot Records - Hawthorne, 3574 SE Hawthorne Blvd, Portland, OR 97214, United States of America",/Store/12491,http://www.jackpotrecords.com,-122.627076,OR,3574 SE Hawthorne Blvd,45.5119111,Y,12491
Portland,Landfill Rescue Unit llc,"Landfill Rescue Unit llc, 400 NW Couch Street, Portland, OR 97209, United States of America",/Store/14610,https://www.facebook.com/landfillrescueU,-122.674573,OR,400 NW Couch Street,45.5236997,Y,14610
Portland,Music Millennium,"Music Millennium, 3158 E. Burnside, Portland, OR 97214, United States of America",/Store/3578,http://www.musicmillennium.com/,-122.631995,OR,3158 E. Burnside,45.5226793,Y,3578
portland,one stop music inc,"one stop music inc, 1615 ne killingsworth, portland, OR 97211, United States of America",/Store/5369,http://onestoprecordshop.com,-122.648702,OR,1615 ne killingsworth,45.562737,N,5369
Portland,Platinum Records,"Platinum Records, 104 SW 2nd Ave., Portland, OR 97292, United States of America",/Store/6224,http://www.platinum-records.com,-122.672422,OR,104 SW 2nd Ave.,45.521902,N,6224
Portland,Record Room,"Record Room, 8 NE Killingsworth, Portland, OR 97211, United States of America",/Store/7186,http://Recordroompdx.com,-122.657928,OR,8 NE Killingsworth,45.562285,N,7186
Portland,Timbuktunes World Music,"Timbuktunes World Music, 4726 SE Hawthorne Blvd. , Portland, OR 97215, United States of America",/Store/3924,http://www.timbuktunes.com,-122.613400,OR,4726 SE Hawthorne Blvd. ,45.512015,N,3924
Salem,Harvest Music,"Harvest Music, 1055 Commercial St. SE, Salem, OR 97302, United States of America",/Store/15042,https://www.facebook.com/HarvestMusicOnline,-123.044406,OR,1055 Commercial St. SE,44.930729,Y,15042
Salem,Ranch Records,"Ranch Records, 237 High St. N.E., Salem, OR 97301, United States of America",/Store/7155,https://www.facebook.com/pages/Ranch-Records-Cds-Lps-Vintage-Rock-Art-Dvds/104528069590644,-123.036914,OR,237 High St. N.E.,44.9412525,Y,7155
The Dalles,Yesterday &amp; Today,"Yesterday &amp;amp; Today, 414 E. 2nd St., The Dalles, OR 97058, United States of America",/Store/6469,http://,-121.180097,OR,414 E. 2nd St.,45.600163,Y,6469
